Prozess,Anforderungs-nummer,Bereits implementiert,Umsetzungskonzept,Abstimmung 14.04.2026,Anforderungstext,Funktionalität von Asneinl4Win,Besprechungsnotizen,Entscheidung,Schätzung in PT min ,Schätzung in PT max,Schätzung in PT min ,Schätzung in PT max,bereits gemacht ,Confidence Schulnote,,
G-SYS-BÜ,A-SYS-BÜ-12,,X,X,"A-SYS-BÜ-12: Bewohner:innen, die zu vulnerablen Gruppen gehören (vgl. A-AU-SM-01) oder besonderen Schutzbedarf haben (vgl. A-KS-SC-07) sollen in der Bewohner:innen-Übersicht durch entsprechende Icons gekennzeichnet sein.",teilweise,"In der bewohnerübersicht nicht aber in der Detaillansicht wird es angezeigt. Unterscheidung ob das Icon was impliziert, was für andere Prozesse Auswirkungen hat. Alternativ eine farbliche Kennzeichnung? - ungünstig für Barrierefreiheit  ","Schreiben oder Icons? Falls Icons, müssen diese definiert werden was in der Detail- und Kurzansicht angezeigt wird. 
Lieferung von 5 Icons bis kommenden Mittwoch",2,3,2,3,,2,"2. A-SYS-BÜ-12: Icons- Vulnerabilität: Bis Mittwoch (6.5.2026) kommender Woche werden wir bis zu 5 allgemein verständliche Icons liefern, die hier verfügbar sein sollen.",
G-SYS-BÜ,A-SYS-BÜ-03,X,,X,A-SYS-BÜ-03: Die tabellarischen Bewohner:innen-Übersichten sollen durch einen Klick auf den Spaltenkopf sortierbar sein.,teilweise,,Ist gegeben ,0,0,0,0,,,,
G-SYS-BÜ,A-SYS-BÜ-04,X,,X,A-SYS-BÜ-04: Eine bereits nach einer Spalte sortierte tabellarische Übersicht soll sich in zweiter Ebene nach den Werten einer zweiten Spalte sortieren lassen.,nein,,,3,5,0,0,,5,,
G-SYS-BÜ,A-SYS-BÜ-05,X,,X,A-SYS-BÜ-05: Die tabellarischen Bewohner:innen-Übersichten müssen im Asylverwaltungsprogramm nach den Werten der angezeigten Spalten weiter filterbar sein. Mit der so gefilterten Ansicht muss dann innerhalb des Asylverwaltungsprogramms weitergearbeitet werden können.,nein,,,0,0,0,0,,,,
G-SYS-BÜ,A-SYS-BÜ-06,X,,X,"A-SYS-BÜ-06: Für jede tabellarische Übersicht, die Teil eines Prozesses ist, soll ist eine bestimmte Auswahl an dargestellten Bewohner:innen-Einträgen (Filter-Kriterien) und angezeigten Attributen (Spalten) vordefiniert sein.",x,,,0,0,0,0,,,,
G-SYS-BÜ,A-SYS-BÜ-08,,,X,"A-SYS-BÜ-08: Die aktuelle, tabellarische Bewohner:innen-Übersicht soll sich jederzeit als Datei exportieren lassen (.pdf und .xlsx).",,,,3,5,3,5,,4,,
G-SYS-BÜ,A-SYS-BÜ-11,,X,X,A-SYS-BÜ-11: In der Bewohner:innen-Übersicht soll die Gesamtanzahl der Mitglieder eines Familienverbands / einer Fluchtgemeinschaft als Attribut (Spalte) angezeigt werden können.,x,,,2,3,2,3,,3,,
G-SYS-VD,A-SYS-VD-01,,X (nur PDF),X (nur PDF),"A-SYS-VD-01: Für einen ausgewählten Bewohner:innen-Eintrag muss ein Vordruck aus einer Liste auswählbar sein, der dann mit Daten des Bewohners/der Bewohnerin ausgefüllt und als Datei (.docx und .pdf) exportiert oder direkt aus dem Asylverwaltungsprogramm heraus ausgedruckt wird.",x,,,2,3,2,3,,2,,
G-SYS-VD,A-SYS-VD-02,,X,X,"A-SYS-VD-02: Alternativ zur (aktiven) Menü-Auswahl durch den/die Nutzer:in muss das in A-SYS-VD-01 beschriebene, automatische Ausfüllen eines Vordruck mit Bewohner:innen-Daten auch fester Schritt in einem Prozess sein können. In diesem Fall ist die der auszufüllende Vordruck als Teil des Prozesses festgelegt.",X,,,1,2,1,2,,2,,
G-SYS-VD,A-SYS-VD-03,X,,X,A-SYS-VD-03: Für einen bestimmten Vordruck müssen Übersetzungen in unterschiedliche Muttersprachen auswählbar sein (sowohl A-SYS-VD-01 als auch A-SYS-VD-02).,teilweise,,,0,0,0,0,,,,
G-SYS-VD,A-SYS-VD-04,X,,X,A-SYS-VD-04: Die für einen Vordruck vorausgewählte Muttersprache soll sich an den Sprachkenntnissen des Bewohner:innen-Eintrags orientieren.,nein,,,1,2,0,0,,3,,
G-SYS-VD,A-SYS-VD-05,,X (im PDF),X (im PDF),"A-SYS-VD-05: Es soll die Möglichkeit bestehen, auf Vordrucken Unterschriftenfelder vorzusehen, die in Prozessen für eine:n konkrete:n Bewohner:in auch unter Verwendung eines Unterschriftenpads unterschrieben werden können (vgl. A-SL-EA-14).",teilweise,,passt auf nur PDF Version geeinigt ,3,7,3,7,,6,,
G-SYS-VD,A-SYS-VD-06,X,,X,A-SYS-VD-06: Neue Vordrucke müssen durch Nutzer:innen erstellt und dann im Asylverwaltungsprogramm genutzt werden können.,nein,,,0,0,0,0,,,,
G-SYS-VD,A-SYS-VD-07,X,,X,A-SYS-VD-07: Neue Übersetzungen von Vordrucken in andere Sprachen müssen durch Nutzer:innen erstellt und dann im Asylverwaltungsprogramm genutzt werden können.,nein,,,0,0,0,0,,,,
G-SYS-TV,A-SYS-TV-01,X,,X,A-SYS-TV-01: Zu jeder Bewohnerin/jedem Bewohner müssen sich beliebig viele Termineinträge anlegen lassen.,x,,,0,0,0,0,,,,
G-SYS-TV,A-SYS-TV-02,X,,X,A-SYS-TV-02: Jeder Termin muss einen Titel und ein Freitext-Feld haben. Außerdem muss ein Termin genau einer aus einer Auswahl von vordefinierten Kategorien zugeordnet sein.,x,,,0,0,0,0,,,,
G-SYS-TV,A-SYS-TV-03,X,,X,A-SYS-TV-03: Die Auswahl an Terminkategorien soll durch Nutzer:innen mit entsprechenden Rechten anpassbar sein.,nein,,,0,0,0,0,,,,
G-SYS-TV,A-SYS-TV-04,X,,X,A-SYS-TV-04: Jedem Termin muss durch ein Freitextfeld weitere Informationen zugeordnet werden können.,x,,,0,0,0,0,,,,
G-SYS-TV,A-SYS-TV-05,X,,X,"A-SYS-TV-05: Jeder Termin muss sich mit einer ganzzahligen Prioritätsstufe (0-5) versehen lassen, die in jeder Darstellung des Termins farblich wiedergegeben wird.",nein,,,0,0,0,0,,,,
G-SYS-TV,A-SYS-TV-06,X,,X,"A-SYS-TV-06: Es müssen sich Terminübersichten über Termine einer bestimmten Auswahl von Kategorien für einen festlegbaren Zeitraum anzeigen lassen, für die Bewohner:innen entweder einer einzelnen AfA oder aller AfAs. Weiterhin muss es möglich sein, alle Termine für eine:n Bewohner:in anzuzeigen, zu sortieren und nach Kategorien zu filtern.",nein,,,1,2,0,0,,3,,
G-SYS-TV,A-SYS-TV-07,X,,X,"A-SYS-TV-07: Es soll möglich sein, eine Terminübersicht mit allen Terminen aufzurufen, die folgende Differenzierung ermöglicht: 1. Termin-Kategorie 2. AfA 3. Zeitraum",nein,,,1,2,0,0,,3,,
G-SYS-TV,A-SYS-TV-09,X,,X,A-SYS-TV-09: Jede Terminübersicht soll sich jederzeit in eine Datei (.pdf und .xlsx) exportieren lassen.,nein,,,1,2,0,0,,3,,
G-SYS-TV,A-SYS-TV-10,X,,X,"A-SYS-TV-10: Jeder Termin muss sich jederzeit bearbeiten lassen. Dabei müssen alle vorangehende genannten Eigenschaften eines Termins außer der Kategorie editierbar sein, insbesondere Datum und Uhrzeit (Terminverschiebung).",x,,,0,0,0,0,,,,
G-SYS-TV,A-SYS-TV-11,X,,X,"A-SYS-TV-11: Das Verschieben eines geöffneten Termins um eine Reihe von vorkonfigurierten Zeiträumen (bspw. Eine Woche, vierzehn Tage, ein Monat) soll sich mit nur einem Klick erledigen lassen.",nein,,,2,3,0,0,,3,,
G-SYS-TV,A-SYS-TV-12,X,,X,"A-SYS-TV-12: Das Asylverwaltungsprogramm muss für eine entsprechend gekennzeichnete Bewohner:innen-Gruppe und für feststehende Terminkategorien sicherstellen, dass stets mindestens einen Termin dieser Kategorie für jeden entsprechenden Bewohner/jede Bewohnerin in der Zukunft liegt.",nein,,,8,15,0,0,,6,,
G-SYS-FD,A-SYS-FD-01,,X,X,A-SYS-FD-01: Zu jedem Bewohner/jeder Bewohnerin müssen sich im Asylverwaltungsprogramm beliebig viele Freitext-Dokumentations-Einträge erfassen lassen.,x,,,2,3,2,3,X,2,,
G-SYS-FD,A-SYS-FD-02,,X,X,A-SYS-FD-02: Das Asylverwaltungsprogramm muss Änderungen an einem einmal erstellten Freitext-Dokumentationseintrag unterbinden.,x,,,1,1,1,1,X,1,,
G-SYS-FD,A-SYS-FD-04,,X,X,"A-SYS-FD-04: Mit einem Freitext-Dokumentations-(Folge)-Eintrag muss der/die verfassende Nutzer:in, die Rolle/der Bereich des/der verfassenden Nutzer:in, sowie der Zeitpunkt der Erstellung erfasst werden.",x,,,1,1,1,1,,1,,
G-SYS-FD,A-SYS-FD-05,,X,X,A-SYS-FD-05: Die neusten Dokumentations-Einträge bzw. die Dokumentations-Einträge mit den jüngsten Folge-Einträgen sollen in jeder Ansicht oben stehen.,teilweise,,Ist kein Aufwand wird so gemacht ,2,2,2,2,X,2,,
G-SYS-FD,A-SYS-FD-11,,X,X,A-SYS-FD-11: Der lesende und schreibende Zugriff auf die Freitext-Dokumentation muss durch die Rollen- und Rechteverwaltung regelbar sein (vgl. Abschnitt 4.1.9 und A-SYS-RR-01 und A-SYS-RR-02 im Kapitel 4.1.4).,x,,,0,0,0,0,,,,
G-SYS-FD,A-SYS-FD-12,,X,X,"A-SYS-FD-12: Es muss im Asylverwaltungsprogramm möglich sein, einem Dokumentations-Eintrag einen Hinweis beizufügen, der genau einer aus einer Reihe von Kategorien (z.B. Isolations-Pflicht) zugeordnet ist.",teilweise,,Freitexteintrag kann mit Hinweis versehen werden. ,2,3,1,2,,5,,
G-SYS-FD,A-SYS-FD-15,,X,X,A-SYS-FD-15: Jeder Hinweis zu jedem Bewohner muss von jeder Nutzerin/jedem Nutzer eingesehen werden können.,x,,,1,1,1,1,,2,,
G-SYS-FD,A-SYS-FD-16,,X,X,A-SYS-FD-16: Bestimmte Hinweise müssen durch das Asylverwaltungsprogramm in bestimmten Prozessen aktiv genutzt werden.,x,,,0,0,0,0,,,,
G-SYS-BA,A-SYS-BA-01,,X,X,"A-SYS-BA-01: Kommt ein Bewohner/eine Bewohnerin neu in eine AfA oder hat eine Bewohner:in einen bereits ausgestellten Bewohner:innen-Ausweis verloren, muss es möglich sein, mit Hilfe des Asylverwaltungsprogramms einen neuen Bewohner:innen-Ausweis auszustellen. Ein evtl. früher für diese Person ausgestellt Bewohner:innen-Ausweis muss dabei automatisch im Asylverwaltungsprogramm invalidiert werden.",x,,,1,2,1,2,,5,,
G-SYS-BA,A-SYS-BA-02,,X,X,"A-SYS-BA-02: Der Bewohner:innen-Ausweis müssen Vor- und Nachname sowie ein Lichtbild, Staatsangehörigkeit, Geburtsdatum, Aufnahmedatum, Personen-Nr. des Bewohners/der Bewohnerin aufweisen. Weiterhin muss der Bewohner:innen-Ausweis schnell maschienenlesbar sein, etwas durch QR- oder Bar-Code oder per NFC.",x,,,2,4,2,4,,4,,
G-SYS-BA,A-SYS-BA-03,,X,X,"A-SYS-BA-03: Wenn auf einen Datensatz eines Bewohners/einer Bewohnerin im Asylverwaltungsprogramm zugegriffen wird, muss dies (alternativ zur manuellen Suche nach dem entsprechenden Bewohner:innen-Eintrag) durch Scannen des Bewohner:innen-Ausweises in einem Schritt möglich sein.",x,,,2,3,2,3,,2,,
G-SYS-BA,A-SYS-BA-05,,X,X,"A-SYS-BA-05: Bei der Essensausgabe soll erfasst werden, wenn ein Essen an eine:n Bewohner:in ausgegeben wird. Dies wird der Leistungsakte (vgl. A-SYS-LA-01) hinzugefügt. Die Erfassung soll durch Scannen des Bewohner:innen-Ausweises (vgl. A-SYS-BA-03) oder durch manuelle Auswahl des Bewohner:innen-Eintrags erfolgen.",x,,,1,2,1,2,,,,
G-SYS-BA,A-SYS-BA-06,,X,X,A-SYS-BA-06: Das Asylverwaltungsprogramm soll mit den vorhandenen Kartendruckern insbesondere der Firma EVOLIS kompatibel sein.,x,,,0,0,0,0,,,,
G-SYS-ST,A-SYS-ST-01,,,X,"A-SYS-ST-01: Das Asylverwaltungsprogramm muss die Möglichkeit bieten, die strukturierten Bewohner:innen-Daten auszuwerten.",x,,,1,1,1,1,,6,,
G-SYS-ST,A-SYS-ST-02,,,X,"A-SYS-ST-02: Soll eine Statistik erstellt werden, dann soll das Asylverwaltungsprogramm die Möglichkeit bieten, die strukturiert erfassten Daten in beliebiger Art und Weise miteinander zu kombinieren.",teilweise,Siehe Power BI,Siehe Power BI,30,50,0,0,,6,Auf die ADD verschieben ,
G-SYS-ST,A-SYS-ST-03,,,X,"A-SYS-ST-03: Das Asylverwaltungsprogramm soll die Möglichkeit bieten, Vorlagen für Statistiken zu hinterlegen, aus denen dann die entsprechenden Statistiken mit möglichst geringem manuellen Aufwand jederzeit für einen bestimmten Zeitraum und ggf. für eine bestimmte AfA erstellt werden können.",x,,,0,0,0,0,,,,
G-SYS-BD,A-SYS-BD-01,,X,X,"A-SYS-BD-01: Wird vom Asylverwaltungsprogram eine Bewohner:innen-Übersicht angezeigt (vgl. Abschnitt 4.1.5 Bewohner:innen-Übersichten), so muss das Asylverwaltungsprogramm es ermöglichen durch einen Klick auf einen einzelnen Bewohner:innen-Eintrag der Übersicht eine Zusammenfassung der wichtigsten Daten zu dem/der Bewohner:in anzuzeigen. Diese Zusammenfassung muss den vollständigen Namen, das Geburtsdatum, das Lichtbild, die AfA und das Zimmer, das Herkunftsland, alle Mitglieder des Familienverbunds (vgl. AU-RE-14), die Sprach-Fähigkeiten sowie evtl. Hinweise (vgl. A-SYS-FD-12) umfassen. Ist die Personen für eine Verlegung (vgl. 4.2.4 Prozess: Verlegung planen (P-AU-VP)) oder für eine Verteilung (vgl. 4.2.6 Prozess: Landesinterne Verteilung planen (P-AU-LP)) eingeplant sein, muss diese Verteilungs- bzw. Verlegungsplanung angezeigt werden. Bei dieser Ansicht müssen Informationen ausgeblendet werden, auf die der/die Nutzer:in aufgrund seiner/ihrer Rolle und Rechte keinen Zugriff hat (vgl. Abschnitt 4.1.4 Rollen- und Rechteverwaltung).",x,,,8,10,8,10,,4,,
G-SYS-BD,A-SYS-BD-02,,X,X,"A-SYS-BD-02: Ist im Asylverwaltungsprogramm eine Zusammenfassung zu einem/einer Bewohner:in geöffnet, so muss es für den Nutzer möglich sein, eine Ansicht mit allen gespeicherten Daten zu diesem/dieser Bewohner:in zu öffnen, auf die der/die Nutzer:in aufgrund seiner/ihre Rechte und Rolle Zugriff hat (vgl. Abschnitt 4.1.4 Rollen- und Rechteverwaltung).",x,,,3,5,3,5,,4,,
P-AU-VR,A-AU-VR-01,X,,X,"A-AU-VR-01: Kommt ein:e Asylbewerber:in als Neuaufnahme in eine AfA, so muss das Asylverwaltungsprogramm die Datenerfassung zu Asylbegehrenden im Rahmen einer Vorregistrierung ermöglichen. Die erfassten Daten umfassen Name, Vorname, Titel/Namenszusätze, Geburtsdatum, Familienstand, Familien-Verbünde, Fluchtgemeinschaften, Staatsangehörigkeit und Sprachkenntnisse. Zusätzliche Informationen müssen sich in einem oder mehreren Freitextfeldern eintragen lassen.",,,,0,0,0,0,,,,
P-AU-VR,A-AU-VR-02,X,,X,"A-AU-VR-02: Führt die Asylbewerber:in Ausweisdokumente mit sich, so soll das Asylverwaltungsprogramm ermöglichen, diese zu erfassen.",teilweise,,,0,0,0,0,,,,
P-AU-VR,A-AU-VR-03,X,,X,"A-AU-VR-03: Wird eine Asylbewerber:in als neue Bewohner:in im Rahmen der Vorregistrierung erfasst, so soll im Asylverwaltungsprogramm für den neunen Bewohner:innen-Eintrag der Status ""Vorregistriert"" erfasst werden (vgl. A-AU-RE-19), nach dem auch gefiltert werden kann (vgl. A-SYS-BÜ-05).",,,,0,0,0,0,,,,
P-AU-RE,A-AU-RE-01,X,,X,"A-AU-RE-01: Wird der Prozess der Registrierung gestartet, müssen die während der Vorregistrierung im Asylverwaltungsprogramm erfassten Informationen (vgl. P-AU-VR) direkt zur Verfügung stehen, ohne dass Daten aus der Vorregistrierung manuell übertragen werden müssen.",,,,0,0,0,0,,,,
P-AU-RE,A-AU-RE-03,"X 
(ungetestet)","X 
(Test, Korrektur, Erweiterung)",X,"A-AU-RE-03: Das Asylverwaltungsprogramm muss es ermöglichen zu prüfen, ob im AZR Daten zur/zum Asylbegehrenden vorhanden sind und diese ggf. direkt aus dem AZR in das Asylverwaltungsprogramm zu übernehmen.",x,,,10,15,10,15,,5,,
P-AU-RE,A-AU-RE-02,"X 
(ungetestet)","X 
(Test, Korrektur, Erweiterung)",X,"A-AU-RE-02: Personenbezogene Daten aus dem PIK-Prozess müssen automatisiert über eine Schnittstelle aus dem AZR in die neue Software übernommen werden können, ohne das Daten manuell übertragen werden müssen.",x,,,0,0,0,0,,,,
P-AU-RE,A-AU-RE-05,X,,X,A-AU-RE-05: Widersprüche in den Personendaten aus verschiedenen Quellen müssen vom Asylverwaltungsprogramm System erkannt und angezeigt werden.,x,,,0,0,0,0,,,,
P-AU-RE,A-AU-RE-06,,"X 
(gehört nicht zur Registrierung)",X,"A-AU-RE-06: Erfolgt im AZR zu einem späteren Zeitpunkt (nach der abgeschlossenen Registrierung) eine Datenaktualisierung, soll automatisch eine Aktualisierung des Stammdaten-Datenbestands der jeweiligen Bewohner:in durchgeführt werden. Die automatischen Datenaktualisierungen sollen für die Nutzer:in kenntlich gemacht werden.",x,,,1,2,1,2,,3,,
P-AU-RE,A-AU-RE-11,X,,X,"A-AU-RE-11: Führen Asylsuchende Original-Dokumente (Reisepass, Geburtsurkunde, etc.) mit sich, muss es das Asylverwaltungsprogramm ermöglichen, diese einzuscannen und dem Bewohner:innen-Eintrag der Person anzuhängen.",,,,0,0,0,0,,,,
P-AU-RE,A-AU-RE-14,,X,X,"A-AU-RE-14: Bei der Registrierung von Personen muss es im Asylverwaltungsprogramm möglich sein, verschiedene Bewohner:innen zu einem Familienverbund zusammen zu fassen.",x,,,5,8,5,8,X,2,,
P-AU-RE,A-AU-RE-15,,X,X,"A-AU-RE-15: Bei der Registrierung von Personen muss es im Asylverwaltungsprogramm möglich sein, verschiedene Bewohner:innen zu Fluchtgemeinschaften zusammen zu fassen.",x,,,5,8,5,8,X,2,,
P-AU-RE,A-AU-RE-16,,X,X,"A-AU-RE-16: Während der Registrierung muss erfasst werden können, ob eine Person den Status einer Sonderaufnahme hat und zu welcher Gruppe von Sonderaufnahmen die Bewohner:in gehört (vgl. A-AU-RE-18).",x,,,3,5,3,5,X,3,,
P-AU-RE,A-AU-RE-17,,"X 
(gehört nicht zur Registrierung)",X,"A-AU-RE-17: Personen mit dem Status Sonderaufnahme sollen sich im Asylverwaltungsprogramm suchen und filtern lassen, auch nach Gruppe der Sonderaufnahme getrennt.",x,,,2,3,2,3,X,3,,
P-AU-RE,A-AU-RE-18,,"X 
(gehört nicht zu Registrierung)",X,"A-AU-RE-18: Durch eine:n berechtigte Nutzer:in sollen im Asylverwaltungsprogramm neue Gruppen von Sonderaufnahmen erstellt, bearbeitet und gelöscht werden können. Eine neue Gruppe von Sonderaufnahmen soll durch ihre Bezeichnung und eine Freitext-Beschreibung erfasst werden.",teilweise,"Sondergruppe eintragen, und austragen muss mit drinnen sein (nur Admin kann das) ","Sondergruppe eintragen, und austragen muss mit drinnen sein (nur Admin kann das) ",3,5,3,5,X,4,Ist gemacht ,
P-AU-RE,A-AU-RE-19,X,,X,"A-AU-RE-19: Durch den Abschluss der Registrierung soll die Bewohner:in im Asylverwaltungsprogramm aus dem Status „Vorregistriert"" in den Status ""Registriert"" überführt werden (vgl. A-AU-VR-03).",,,,0,0,0,0,,,,
G-AU-SM,A-AU-SM-01,Teilweise,X,X,A-AU-SM-01: Bewohner:innen müssen sich als vulnerable Personen unter der Angabe von Gründen für diese Einstufung kennzeichnen sowie im Asylverwaltungsprogramm suchen und selektieren lassen.,,,,2,3,0,0,,3,,
G-AU-SM,A-AU-SM-16,Teilweise,X,X,"A-AU-SM-16: Personen mit dem Status Sonderaufnahme müssen sich im Asylverwaltungsprogramm suchen und filtern lassen, auch nach Gruppe der Sonderaufnahme getrennt.",x,,,3,5,3,5,,2,,
G-AU-SM,A-AU-SM-17,Teilweise,X,X,"A-AU-SM-17: Durch eine berechtigte Benutzer:in müssen im Asylverwaltungsprogramm neue Gruppen von Sonderaufnahmen erstellt, bearbeitet und gelöscht werden können. Eine neue Gruppe von Sonderaufnahmen muss durch ihre Bezeichnung und eine Freitext-Beschreibung erfasst werden.",x,,,3,5,3,5,X,4,,
G-AU-SM,A-AU-SM-02,,X,X,A-AU-SM-02: Im Asylverwaltungsprogramm soll für Bewohnerinnen der vulnerablen Gruppe der Schwangeren der erwarteten Entbindungstermin vermerkt werden können.,x,,,2,3,2,3,,3,,
G-AU-SM,A-AU-SM-03,,X,X,A-AU-SM-03: Nachgeborene Kinder (in Deutschland geborene oder später nachgereiste Kinder) müssen sich im Asylverwaltungsprogramm erfassen und dem Familienverbund zuordnen lassen.,x,,,3,5,3,5,,3,,
G-AU-SM,A-AU-SM-04,,X,X,A-AU-SM-04: Nachgeborene Kinder sollen sich in zwei verschiedenen Kategorien einteilen lassen:,x,,,3,5,3,5,,4,,
G-AU-SM,A-AU-SM-05,,X,X,"A-AU-SM-05: Im Asylverwaltungsprogramm müssen sich Bewohner:innen als unbegleitete, minderjährige Ausländer erfassen lassen.",x,,,2,3,2,3,,3,,
G-AU-SM,A-AU-SM-06,,X,X,"A-AU-SM-06: Erfolgt durch das Landesjugendamt eine Unterbringungszuweisung für den/die UMA in eine Kommune, soll diese im Asylverwaltungsprogramm erfasst und ein entsprechendes Zuweisungs-Dokument des Landesjugendamts hinterleget werden können. Weiterhin sollen ein oder mehrere Bewohner:innen als Bezugspersonen mit dem Eintrag zu dem/der UMA erfasst werden können.",teilweise,Bezugspersonen können bezeichnet werden. Zuweisungen können nur als PDF hinterlegt werden. UMA und Bezugspersonen müssen bei der Verteilung betrachtet werden können,"PDF hinterlegen und 1-n Personennummern-Bezug als Bezugspersonen + Kommunen wo er verteilt werden soll (Physisch). Indikator UMA, oder ist Bezugsperson für UMA",3,5,3,5,,2,,
G-AU-SM,A-AU-SM-08,,X,X,"A-AU-SM-08: Ein Teil des Clearing-Verfahrens ist die Alterseinschätzung. Ergibt sich in diesem Prozess, dass es sich nicht um eine minderjährige Person handelt, muss der Status der Person als UMA (A-AU-SM-05) in eine volljährige Person geändert werden können.",x,,,2,3,2,3,,3,,
G-AU-SM,A-AU-SM-10,,X,X,"A-AU-SM-10: Im Asylverwaltungsprogramm muss der Verfahrensstand des beim BAMF durchgeführten Asylverfahrens eingetragen werden können. Mögliche Verfahrensstände sind: „Antrag gestellt"", „Anhörung"", „kurzfristige Entscheidung"" (ja/nein), „Abgeschlossen"". Ausgang des Verfahrens kann sein: „positiv"", „einfache Ablehnung"", „Dublin"" (ja/nein), „Unzulässig"", „offensichtlich unbegründet"".",x,,,3,5,3,5,,3,,
